n
"(:Concept {domain: Mathematics,name: 0 and 1})"
"(:Concept {domain: History,name: 2020s})"
"(:Concept {domain: Biochemistry,name: 3d structure of a protein in hours})"
"(:Concept {domain: Statistics,name: 4 out of 5 games})"
"(:Concept {domain: Mathematics,name: 53% of the aime 2024})"
"(:Concept {domain: Statistics,name: 84% accuracy})"
"(:Concept {domain: Mathematics,name: 90% of the math benchmark problems})"
"(:Concept {domain: Biochemistry,name: Ability to approximate the 3d structure of a protein})"
"(:Concept {domain: Education,name: Academic discipline})"
"(:Concept {domain: Computer science,name: Accelerate neural networks})"
"(:Concept {domain: Artificial intelligence,name: Accurate and efficient reasoning})"
"(:Concept {domain: Artificial intelligence,name: Action by making a probabilistic guess})"
"(:Concept {domain: Decision theory,name: Action with the maximum expected utility})"
"(:Concept {domain: Psychology (or philosophy of action),name: Actions})"
"(:Concept {domain: Robotics,name: Actions in the world})"
"(:Concept {domain: Planning,name: Actions to make them happen})"
"(:Concept {domain: Engineering,name: Active lidar})"
"(:Concept {domain: Business,name: Adsense})"
"(:Concept {domain: Artificial intelligence,name: Advanced generative ai})"
"(:Concept {domain: Computer science,name: Advanced web search engine})"
"(:Concept {domain: Computer science,name: Advanced web search engines})"
"(:Concept {domain: Artificial intelligence,name: Adversarial search})"
"(:Concept {domain: Computer science,name: Affective computing})"
"(:Concept {domain: History,name: After 2012})"
"(:Concept {domain: History,name: After 2017})"
"(:Concept {domain: Sports,name: Against four of the world's best gran turismo drivers})"
"(:Concept {domain: Artificial intelligence,name: Agent})"
"(:Concept {domain: Artificial intelligence,name: Agent for bad ones})"
"(:Concept {domain: Artificial intelligence,name: Agent for good responses})"
"(:Concept {domain: Artificial intelligence,name: Agent to operate with incomplete or uncertain information})"
"(:Concept {domain: Artificial intelligence,name: Agent's preferences})"
"(:Concept {domain: Artificial intelligence,name: Agents})"
"(:Concept {domain: Artificial intelligence,name: Ai})"
"(:Concept {domain: Artificial intelligence,name: Ai agent})"
"(:Concept {domain: Artificial intelligence,name: Ai agents})"
"(:Concept {domain: Artificial intelligence,name: Ai agents that simulate sexual and romantic partners})"
"(:Concept {domain: Computer science,name: Ai and machine learning technology})"
"(:Concept {domain: Computer science,name: Ai applications})"
"(:Concept {domain: Art,name: Ai art})"
"(:Concept {domain: Economics,name: Ai boom})"
"(:Concept {domain: Military science,name: Ai military applications})"
"(:Concept {domain: Computer science,name: Ai programs})"
"(:Concept {domain: Artificial intelligence,name: Ai programs to answer questions intelligently})"
"(:Concept {domain: Artificial intelligence,name: Ai programs to make deductions about real-world facts})"
"(:Concept {domain: Artificial intelligence,name: Ai research})"
"(:Concept {domain: Artificial intelligence,name: Ai researchers})"
"(:Concept {domain: Computer science,name: Ai technologies})"
"(:Concept {domain: Computer science,name: Ai tools})"
"(:Concept {domain: Economics,name: Ai winters})"
"(:Concept {domain: Sociology,name: Ai's long-term effects})"
"(:Concept {domain: Medicine,name: Ai-enabled menstruation and fertility trackers})"
"(:Concept {domain: Sex education,name: Ai-generated sexual education content})"
"(:Concept {domain: Pharmacology,name: Ai-guided drug discovery})"
"(:Concept {domain: Sex technology,name: Ai-integrated sex toys})"
"(:Concept {domain: Computer science,name: Alexa})"
